user,text
LucyRocks9,@Mike_Pence Why vote? Trump said it’s rigged. Republicans stay home or write in Donald Trump. Screw Perdue.
al1wag,@Mike_Pence #DerangedDonald
al1wag,@Mike_Pence #DerangedDonald
Raven11015981,@Mike_Pence Why would anyone choose to ever vote for another damned thing in America? It is a sham and a disgrace.… https://t.co/Nr6ivupuov
dora_mooneyham,RT @Rosemarie4311: @Mike_Pence https://t.co/vu6dgC7PL5
JerryRecords,@Mike_Pence @Perduesenate @KLoeffler All of you should be the last ones talking about integrity. Get your priorities set first!
WayneHelms10,@Mike_Pence only 2.9 me and vaccine to be shipped this is bs. I have a lung disease heart disease diabetes and I'm… https://t.co/MshNjdGRRZ
LucyRocks9,"@Mike_Pence @realDonaldTrump In a matter of days, under @realDonaldTrump’s leadership, over 9,000 people will die o… https://t.co/IGrIeIMVvb"
lstrazz80,@Mike_Pence @realDonaldTrump I think we all know this administration should not be taking credit for the vaccine at all.
soyceman,@Mike_Pence Vote 💙
Tiarly007,@Mike_Pence @realDonaldTrump What about an HIV Vaccine ? https://t.co/sgAXyH3mAW.   You should do this one too.
rita44013222,"@Mike_Pence @realDonaldTrump Bull, just another way of taking money"
RepublicanForB4,"@Mike_Pence Mikey, Trump is going to have plenty of days in court once his ugly ass leaves office on 1/20/21.  Sinc… https://t.co/3V4PEVKV95"
BillyTwy,@Mike_Pence @VP @UofSCSOMG https://t.co/DRI5BwA7ZK
dcnative2020,"@Mike_Pence Biden has been EXPLICIT that no tax increase  for those $400K or below. trump has defiled our military,… https://t.co/Ru7saVbiXq"
Braveswyn,@Mike_Pence @realDonaldTrump @Perduesenate @KLoeffler I voted for Georgia’s and America’s future. The choice wasn’t… https://t.co/p1ocQQVtuv
dianamhs70,RT @Rosemarie4311: @Mike_Pence https://t.co/vu6dgC7PL5
mach1958,"@Mike_Pence OMG, Sir you are on the wrong side of history, and you call yourself a Christian, shame on you."
dianamhs70,RT @Rosemarie4311: @Mike_Pence https://t.co/eeuuy8MJKw
ViceGodhead,@Mike_Pence A basic minimum requirement for a trumpenzee is to be able to lie.
Joshua245843052,"@Mike_Pence I disagree because the case has no merit and is not only filled with lies and inaccuracies, it is an em… https://t.co/O9vohLVqsl"
Lorenzo11116,@Mike_Pence @Perduesenate @KLoeffler One who does not serve the true Christ of the most holy Eucharist of the Catho… https://t.co/JZmgVfuQyv
reinish50,RT @reinish50: @Mike_Pence @Perduesenate @KLoeffler 👹👹👹👹👹👹👹👹👹👹👹👹👹Evil
KathySylvie,@Mike_Pence You and the Republican Party have betrayed our country! Shame on all of you for trying to destroy our democracy!!!
whaleprinceaz,@Mike_Pence I hope you get stuck with Donald as your cellmate👍 https://t.co/K4CgBQbvGq
dianamhs70,RT @Rosemarie4311: @Mike_Pence https://t.co/nhTTOAutZ2
LeighAWatson6,@Mike_Pence Love you president Donald Trump and vice president Mike pants
LindaHopeWilli1,@Mike_Pence Vote
TylerHughs,"@Mike_Pence What in the fuck are you talking about, you giant, cowardly hypocritical shit mannequin? You're such a… https://t.co/7xFljBTwnb"
dianamhs70,RT @MaggieAnn1222: @Mike_Pence https://t.co/ZrZ7tPg12G
peaceandlove888,@Mike_Pence Loser
